Date,Close/Last
11/27/2023,45.63
11/24/2023,45.81
11/22/2023,45.33
11/21/2023,45.28
11/20/2023,45.58
11/17/2023,45.34
11/16/2023,44.76
11/15/2023,44.74
11/14/2023,44.65
11/13/2023,43.32
11/10/2023,43.18
11/09/2023,42.84
11/08/2023,42.8
11/07/2023,42.4
11/06/2023,42.57
11/03/2023,42.81
11/02/2023,42.5
11/01/2023,41.5
10/31/2023,41.15
10/30/2023,40.98
10/27/2023,40.34
10/26/2023,40.69
10/25/2023,40.87
10/24/2023,41.17
10/23/2023,40.96
10/20/2023,40.68
10/19/2023,41.08
10/18/2023,41.16
10/17/2023,41.96
10/16/2023,41.9
10/13/2023,41.44
10/12/2023,42.06
10/11/2023,42.63
10/10/2023,42.34
10/09/2023,41.71
10/06/2023,42.07
10/05/2023,41.42
10/04/2023,41.29
10/03/2023,40.94
10/02/2023,41.27
09/29/2023,42.01
09/28/2023,41.97
09/27/2023,41.45
09/26/2023,41.55
09/25/2023,42.17
09/22/2023,42.57
09/21/2023,42.6
09/20/2023,43.28
09/19/2023,43.3
09/18/2023,43.28
09/15/2023,43.68
09/14/2023,43.74
09/13/2023,43.27
09/12/2023,43.53
09/11/2023,43.84
09/08/2023,43.34
09/07/2023,43.23
09/06/2023,43.55
09/05/2023,43.76
09/01/2023,44.26
08/31/2023,44.58
08/30/2023,45.14
08/29/2023,45.15
08/28/2023,44.5
08/25/2023,43.98
08/24/2023,43.6
08/23/2023,44.38
08/22/2023,44.13
08/21/2023,44.21
08/18/2023,43.88
08/17/2023,43.82
08/16/2023,44.32
08/15/2023,44.62
08/14/2023,45.26
08/11/2023,45.33
08/10/2023,45.83
08/09/2023,45.39
08/08/2023,45.23
08/07/2023,45.78
08/04/2023,45.27
08/03/2023,45.1
08/02/2023,45.29
08/01/2023,46.32
07/31/2023,47.03
07/28/2023,47.06
07/27/2023,46.25
07/26/2023,46.19
07/25/2023,46.24
07/24/2023,46.41
07/21/2023,46.75
07/20/2023,46.42
07/19/2023,46.69
07/18/2023,47.05
07/17/2023,46.92
07/14/2023,47.05
07/13/2023,47.23
07/12/2023,46.42
07/11/2023,45.24
07/10/2023,44.79
07/07/2023,44.44
07/06/2023,44.01
07/05/2023,45.08
07/03/2023,45.98
06/30/2023,45.98
06/29/2023,45.28
06/28/2023,45.26
06/27/2023,45.22
06/26/2023,44.55
06/23/2023,44.37
06/22/2023,45.04
06/21/2023,45.26
06/20/2023,45.28
06/16/2023,46.71
06/15/2023,46.64
06/14/2023,46.08
06/13/2023,45.75
06/12/2023,45.38
06/09/2023,44.88
06/08/2023,45.22
06/07/2023,44.65
06/06/2023,44.81
06/05/2023,44.69
06/02/2023,45.14
06/01/2023,44.67
05/31/2023,44.04
05/30/2023,44.82
05/26/2023,45.36
05/25/2023,44.68
05/24/2023,44.57
05/23/2023,45.32
05/22/2023,46.22
05/19/2023,46.21
05/18/2023,45.85
05/17/2023,45.78
05/16/2023,45.44
05/15/2023,45.73
05/12/2023,45.52
05/11/2023,45.67
05/10/2023,45.87
05/09/2023,45.93
05/08/2023,46.37
05/05/2023,46.4
05/04/2023,45.66
05/03/2023,45.83
05/02/2023,45.72
05/01/2023,46.23
04/28/2023,46.32
04/27/2023,46.5
04/26/2023,45.93
04/25/2023,45.82
04/24/2023,46.65
04/21/2023,46.51
04/20/2023,46.12
04/19/2023,46.22
04/18/2023,46.28
04/17/2023,45.9
04/14/2023,46.27
04/13/2023,46.35
04/12/2023,45.71
04/11/2023,45.31
04/10/2023,45.21
04/06/2023,45.2
04/05/2023,44.96
04/04/2023,45.27
04/03/2023,45.14
03/31/2023,44.9
03/30/2023,44.74
03/29/2023,43.97
03/28/2023,43.21
03/27/2023,43.11
03/24/2023,42.76
03/23/2023,43.17
03/22/2023,43.06
03/21/2023,43.13
03/20/2023,42.25
03/17/2023,41.56
03/16/2023,42.18
03/15/2023,41.39
03/14/2023,42.95
03/13/2023,42.08
03/10/2023,42.61
03/09/2023,42.89
03/08/2023,43.38
03/07/2023,43.14
03/06/2023,44
03/03/2023,43.98
03/02/2023,43.29
03/01/2023,43.1
02/28/2023,42.85
02/27/2023,43.16
02/24/2023,42.43
02/23/2023,43.51
02/22/2023,43.06
02/21/2023,43.24
02/17/2023,43.93
02/16/2023,43.82
02/15/2023,44.05
02/14/2023,43.89
02/13/2023,43.71
02/10/2023,43.06
02/09/2023,43.45
